question,sentence,answer
What political conflicts marked the presidency of William Howard Taft?,"Abroad, Taft sought to further the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico .","the economic development of nations in Latin America and Asia through "" Dollar Diplomacy "", and showed decisiveness and restraint in response to revolution in Mexico"
what temperature is a salt ice bath,"A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C.",between 13 °C and −196 °C
what temperature is a salt ice bath,"A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C.",between 13 °C and −196 °C
when slavery abolished,In January 1863 President Lincoln freed slaves in the Confederacy through the Emancipation Proclamation .,January 1863
when slavery abolished,In January 1863 President Lincoln freed slaves in the Confederacy through the Emancipation Proclamation .,January 1863
when slavery abolished,"After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.",December 1865
when slavery abolished,"After the war, the Thirteenth Amendment , effective December 1865, abolished slavery throughout the entire United States, including the Border states and the Indian territories.",December 1865
what produces primary xylem?,"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant.",the Greek word ξύλον (xylon)
what produces primary xylem?,"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant.",wood
what is a ti 82?,The TI-82 is a graphing calculator made by Texas Instruments .,a graphing calculator made by Texas Instruments
what is a ti 82?,The TI-82 is a graphing calculator made by Texas Instruments .,The TI-82 is a graphing calculator made by Texas Instruments
what is a ti 82?,"The TI-82 was designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81 .","designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81"
what is a ti 82?,"The TI-82 was designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81 .","The TI-82 was designed in 1993 as a stripped down, more user friendly version of the TI-85 , and as a replacement for the TI-81"
who owned kansas before it became a state,"It is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area.",the Kansa Native American tribe
who owned kansas before it became a state,"It is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area.",Kansa Native American tribe
when did thomas jefferson become president,"Thomas Jefferson (April 13, 1743 (April 2, 1743 O.S. ) – July 4, 1826) was an American Founding Father , the principal author of the Declaration of Independence (1776) and the third President of the United States (1801–1809).",1801
when did thomas jefferson become president,"Thomas Jefferson (April 13, 1743 (April 2, 1743 O.S. ) – July 4, 1826) was an American Founding Father , the principal author of the Declaration of Independence (1776) and the third President of the United States (1801–1809).",1801
when did thomas jefferson become president,"Elected president in what Jefferson called the Revolution of 1800 , he oversaw the purchase of the vast Louisiana Territory from France (1803), and sent the Lewis and Clark Expedition (1804–1806) to explore the new west.",the Revolution of 1800
